exec sudo mnexec -a 5330 iperf -s -u -p 8 -i 1
------------------------------------------------------------
Server listening on UDP port 8
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 8 connected with 10.0.0.2 port 49654
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  5] 21.0000-22.0000 sec  0.000 Bytes  0.000 bits/sec  46.875 ms 0/0 (-nan%)
[  2] 28.0000-29.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  1] 30.0000-31.0000 sec   586 KBytes  4.80 Mbits/sec   1.854 ms 0/408 (0%)
[  3] 28.0000-29.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  4] 27.0000-28.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  5] 22.0000-23.0000 sec  0.000 Bytes  0.000 bits/sec  46.875 ms 0/0 (-nan%)
[  2] 29.0000-30.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  1] 31.0000-32.0000 sec   576 KBytes  4.72 Mbits/sec   2.975 ms 0/401 (0%)
[  3] 29.0000-30.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  4] 28.0000-29.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  5] 23.0000-24.0000 sec  0.000 Bytes  0.000 bits/sec  46.875 ms 0/0 (-nan%)
[  2] 30.0000-31.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  1] 32.0000-33.0000 sec   604 KBytes  4.95 Mbits/sec   2.093 ms 0/421 (0%)
[  3] 30.0000-31.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  4] 29.0000-30.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  5] 24.0000-25.0000 sec  0.000 Bytes  0.000 bits/sec  46.875 ms 0/0 (-nan%)
[  2] 31.0000-32.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  1] 33.0000-34.0000 sec   589 KBytes  4.82 Mbits/sec   2.182 ms 0/410 (0%)
[  3] 31.0000-32.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  4] 30.0000-31.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  5] 25.0000-26.0000 sec  0.000 Bytes  0.000 bits/sec  46.875 ms 0/0 (-nan%)
[  2] 32.0000-33.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  1] 34.0000-35.0000 sec   581 KBytes  4.76 Mbits/sec   2.776 ms 0/405 (0%)
[  3] 32.0000-33.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  4] 31.0000-32.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  5] 26.0000-27.0000 sec  0.000 Bytes  0.000 bits/sec  46.875 ms 0/0 (-nan%)
[  2] 33.0000-34.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  1] 35.0000-36.0000 sec   594 KBytes  4.87 Mbits/sec   2.808 ms 0/414 (0%)
[  5] 27.0000-28.0000 sec  0.000 Bytes  0.000 bits/sec  46.875 ms 0/0 (-nan%)
[  3] 33.0000-34.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  4] 32.0000-33.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  2] 34.0000-35.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  1] 36.0000-37.0000 sec   586 KBytes  4.80 Mbits/sec   3.049 ms 0/408 (0%)
[  5] 28.0000-29.0000 sec  0.000 Bytes  0.000 bits/sec  46.875 ms 0/0 (-nan%)
[  3] 34.0000-35.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  4] 33.0000-34.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  2] 35.0000-36.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
