------------------------------------------------------------
Server listening on UDP port 8
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 8 connected with 10.0.0.5 port 39077
[  2] local 10.0.0.1 port 8 connected with 10.0.0.3 port 33782
[  3] local 10.0.0.1 port 8 connected with 10.0.0.2 port 38659
[  4] local 10.0.0.1 port 8 connected with 10.0.0.4 port 48815
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  4] 35.0000-36.0000 sec   732 KBytes  6.00 Mbits/sec   0.323 ms 0/510 (0%)
[  2] 35.0000-36.0000 sec   610 KBytes  5.00 Mbits/sec   0.363 ms 0/425 (0%)
[  3] 35.0000-36.0000 sec   856 KBytes  7.01 Mbits/sec   0.259 ms 0/596 (0%)
[  4] 36.0000-37.0000 sec   734 KBytes  6.01 Mbits/sec   0.317 ms 0/511 (0%)
[  1] 36.0000-37.0000 sec   610 KBytes  5.00 Mbits/sec   0.030 ms 0/425 (0%)
[  2] 36.0000-37.0000 sec   610 KBytes  5.00 Mbits/sec   0.320 ms 0/425 (0%)
[  3] 36.0000-37.0000 sec   854 KBytes  7.00 Mbits/sec   0.174 ms 0/595 (0%)
[  4] 37.0000-38.0000 sec   732 KBytes  6.00 Mbits/sec   0.314 ms 0/510 (0%)
[  1] 37.0000-38.0000 sec   610 KBytes  5.00 Mbits/sec   0.133 ms 0/425 (0%)
[  2] 37.0000-38.0000 sec   610 KBytes  5.00 Mbits/sec   0.467 ms 0/425 (0%)
[  3] 37.0000-38.0000 sec   854 KBytes  7.00 Mbits/sec   0.255 ms 0/595 (0%)
[  4] 38.0000-39.0000 sec   732 KBytes  6.00 Mbits/sec   0.314 ms 0/510 (0%)
[  1] 38.0000-39.0000 sec   610 KBytes  5.00 Mbits/sec   0.069 ms 0/425 (0%)
[  2] 38.0000-39.0000 sec   610 KBytes  5.00 Mbits/sec   0.351 ms 0/425 (0%)
[  3] 38.0000-39.0000 sec   854 KBytes  7.00 Mbits/sec   0.262 ms 0/595 (0%)
[  4] 39.0000-40.0000 sec   732 KBytes  6.00 Mbits/sec   0.280 ms 0/510 (0%)
[  1] 39.0000-40.0000 sec   610 KBytes  5.00 Mbits/sec   0.134 ms 0/425 (0%)
[  2] 39.0000-40.0000 sec   610 KBytes  5.00 Mbits/sec   0.489 ms 0/425 (0%)
[  3] 39.0000-40.0000 sec   854 KBytes  7.00 Mbits/sec   0.284 ms 0/595 (0%)
[  1] 40.0000-41.0000 sec   610 KBytes  5.00 Mbits/sec   0.066 ms 0/425 (0%)
[  2] 40.0000-41.0000 sec   610 KBytes  5.00 Mbits/sec   0.414 ms 0/425 (0%)
[  3] 40.0000-41.0000 sec   856 KBytes  7.01 Mbits/sec   0.258 ms 0/596 (0%)
[  4] 40.0000-41.0000 sec   732 KBytes  6.00 Mbits/sec   0.343 ms 0/510 (0%)
[  1] 41.0000-42.0000 sec   612 KBytes  5.01 Mbits/sec   0.140 ms 0/426 (0%)
[  2] 41.0000-42.0000 sec   610 KBytes  5.00 Mbits/sec   0.337 ms 0/425 (0%)
[  3] 41.0000-42.0000 sec   854 KBytes  7.00 Mbits/sec   0.303 ms 0/595 (0%)
[  4] 41.0000-42.0000 sec   732 KBytes  6.00 Mbits/sec   0.283 ms 0/510 (0%)
[  1] 42.0000-43.0000 sec   610 KBytes  5.00 Mbits/sec   0.107 ms 0/425 (0%)
[  2] 42.0000-43.0000 sec   610 KBytes  5.00 Mbits/sec   0.416 ms 0/425 (0%)
[  4] 42.0000-43.0000 sec   732 KBytes  6.00 Mbits/sec   0.242 ms 0/510 (0%)
[  3] 42.0000-43.0000 sec   854 KBytes  7.00 Mbits/sec   0.303 ms 0/595 (0%)
[  1] 43.0000-44.0000 sec   609 KBytes  4.99 Mbits/sec   0.041 ms 0/424 (0%)
[  4] 43.0000-44.0000 sec   732 KBytes  6.00 Mbits/sec   0.407 ms 0/510 (0%)
[  2] 43.0000-44.0000 sec   612 KBytes  5.01 Mbits/sec   0.612 ms 0/426 (0%)
[  3] 43.0000-44.0000 sec   854 KBytes  7.00 Mbits/sec   0.465 ms 0/595 (0%)
[  1] 44.0000-45.0000 sec   612 KBytes  5.01 Mbits/sec   0.161 ms 0/426 (0%)
[  4] 44.0000-45.0000 sec   734 KBytes  6.01 Mbits/sec   0.299 ms 0/511 (0%)
[  2] 44.0000-45.0000 sec   610 KBytes  5.00 Mbits/sec   0.362 ms 0/425 (0%)
[  3] 44.0000-45.0000 sec   856 KBytes  7.01 Mbits/sec   0.302 ms 0/596 (0%)
[  4] 45.0000-46.0000 sec   732 KBytes  6.00 Mbits/sec   0.332 ms 0/510 (0%)
[  1] 45.0000-46.0000 sec   610 KBytes  5.00 Mbits/sec   0.080 ms 0/425 (0%)
[  2] 45.0000-46.0000 sec   610 KBytes  5.00 Mbits/sec   0.336 ms 0/425 (0%)
[  3] 45.0000-46.0000 sec   854 KBytes  7.00 Mbits/sec   0.359 ms 0/595 (0%)
[  4] 46.0000-47.0000 sec   732 KBytes  6.00 Mbits/sec   0.381 ms 0/510 (0%)
[  1] 46.0000-47.0000 sec   610 KBytes  5.00 Mbits/sec   0.101 ms 0/425 (0%)
[  2] 46.0000-47.0000 sec   610 KBytes  5.00 Mbits/sec   0.383 ms 0/425 (0%)
[  3] 46.0000-47.0000 sec   854 KBytes  7.00 Mbits/sec   0.313 ms 0/595 (0%)
[  4] 47.0000-48.0000 sec   734 KBytes  6.01 Mbits/sec   0.350 ms 0/511 (0%)
[  1] 47.0000-48.0000 sec   612 KBytes  5.01 Mbits/sec   0.093 ms 0/426 (0%)
[  2] 47.0000-48.0000 sec   610 KBytes  5.00 Mbits/sec   0.470 ms 0/425 (0%)
[  3] 47.0000-48.0000 sec   854 KBytes  7.00 Mbits/sec   0.244 ms 0/595 (0%)
[  4] 48.0000-49.0000 sec   732 KBytes  6.00 Mbits/sec   0.277 ms 0/510 (0%)
[  1] 48.0000-49.0000 sec   610 KBytes  5.00 Mbits/sec   0.058 ms 0/425 (0%)
[  2] 48.0000-49.0000 sec   612 KBytes  5.01 Mbits/sec   0.463 ms 0/426 (0%)
[  3] 48.0000-49.0000 sec   856 KBytes  7.01 Mbits/sec   0.238 ms 0/596 (0%)
[  1] 49.0000-50.0000 sec   610 KBytes  5.00 Mbits/sec   0.066 ms 0/425 (0%)
[  2] 49.0000-50.0000 sec   610 KBytes  5.00 Mbits/sec   0.360 ms 0/425 (0%)
[  3] 49.0000-50.0000 sec   854 KBytes  7.00 Mbits/sec   0.248 ms 0/595 (0%)
[  4] 49.0000-50.0000 sec   732 KBytes  6.00 Mbits/sec   0.365 ms 0/510 (0%)
[  1] 50.0000-51.0000 sec   610 KBytes  5.00 Mbits/sec   0.064 ms 0/425 (0%)
[  2] 50.0000-51.0000 sec   610 KBytes  5.00 Mbits/sec   0.401 ms 0/425 (0%)
